time,open,high,low,close
1587636000,5770,5822,5755.6,5798.1
1587650400,5797.9,5847.9,5762.1,5773.2
1587664800,5773.2,5796.8,5744.1,5769.5
1587679200,5756.8,5770.2,5731.6,5740.2
1587693600,5740,5755,5720.3,5744.3
1587708000,5744.4,5790.2,5728.8,5778.4
1587722400,5778.5,5814.7,5771.2,5775.7
1587736800,5776,5793.9,5745.9,5792.6
1587751200,5792.7,5813,5786.9,5795.8
1587938400,5796.8,5824.3,5772.9,5819.8
1587952800,5819.7,5859.9,5818.3,5848
1587967200,5848.3,5859.2,5817.9,5850
1587981600,5850.1,5854.6,5792.9,5806.6
1587996000,5806.7,5854.1,5799.4,5845.1
1588010400,5845,5878.5,5845,5859.1
1588024800,5854,5875.5,5832.8,5835.8
1588039200,5835.7,5857.1,5830.4,5853.7
1588053600,5853.7,5944,5834.5,5943.6
1588068000,5943.7,5978,5926.8,5952.5
1588082400,5952.7,5970.4,5911.5,5946.9
1588096800,5947.1,5959.6,5913.1,5926
1588111200,5936.2,5994.1,5924,5978.8
1588125600,5978.9,5998.2,5976.1,5988.9
1588140000,5988.8,6016.1,5954.2,6010.6
1588154400,6010.7,6099.5,5982.4,6095.7
1588168800,6095.5,6140.5,6078.1,6122.8
1588183200,6123.2,6140.3,6110.1,6131.7
1588197600,6154.6,6159.4,6117.7,6129.8
1588212000,6129.9,6215.1,6128.7,6189.1
1588226400,6189.1,6190,6087.8,6106.4
1588240800,6106.5,6113.7,5941.9,5969
1588255200,5969.1,5977.5,5852.5,5861.5
1588269600,5861.4,5903.4,5842.8,5852.1
1588284000,5831.3,5865.1,5810,5837.7
1588298400,5837.5,5841.8,5811,5820.6
1588312800,5820.6,5820.6,5748,5779.3
1588327200,5779.2,5809.4,5771.7,5777.6
1588341600,5777.7,5793.5,5742.9,5754.6
1588356000,5754.7,5771.5,5742.7,5744.7
1588543200,5727,5761.4,5668.3,5708
1588557600,5708.2,5734.6,5694,5714.8
1588572000,5714.5,5776.9,5708.3,5749.6
1588586400,5749.5,5777.1,5741.6,5773.1
1588600800,5773.2,5797.7,5743.9,5763.7
1588615200,5763.8,5818.6,5755.9,5798.8
1588629600,5799.1,5842.7,5793.1,5838.8
1588644000,5838.8,5841.8,5822.4,5835.5
1588658400,5835.5,5869.8,5791.3,5824.4
1588672800,5824.1,5872,5806.6,5869.1
1588687200,5869.2,5872.5,5830.7,5850.6
1588701600,5850.4,5854.8,5801,5813
1588716000,5824.5,5839.8,5789.2,5815.9
1588730400,5816,5851.4,5801.6,5847
1588744800,5847.2,5913.4,5838.1,5888
1588759200,5887.9,5901.7,5861.9,5869.3
1588773600,5869.4,5888.3,5841.2,5857.5
1588788000,5857.4,5863.8,5812.7,5819.1
1588802400,5823.1,5851.6,5800.5,5841
1588816800,5841.2,5871,5835.8,5854.6
1588831200,5854.5,5912.9,5851.2,5904.7
1588845600,5904.8,5947.2,5891.5,5938.7
1588860000,5938.2,5955.5,5914.9,5919.2
1588874400,5919.3,5929.7,5888.7,5922.3
1588888800,5920.8,5967.3,5918.6,5953.7
1588903200,5954.2,5987.9,5952.7,5983.8
1588917600,5983.9,5992.9,5951.9,5955.9
1589148000,5972.5,6011.9,5967.6,5992.7
1589162400,5992.5,6000.7,5983.6,5992.6
1589176800,5992.1,6004.1,5905.5,5919.1
1589191200,5919,5938.1,5900,5916.6
1589205600,5916.8,5985.5,5916.7,5969.4
1589220000,5969.3,5979,5950.6,5954.8
1589234400,5958.3,5974.7,5909.2,5924.7
1589248800,5924.5,5948.8,5912.8,5937.3
1589263200,5937.3,5982.3,5916.8,5980.9
1589277600,5980.8,6016.9,5972.2,5999.9
1589292000,6000,6016.2,5978.5,5984.3
1589306400,5984.4,5987.4,5879.3,5881
1589320800,5896.1,5925.8,5873.3,5905.4
1589335200,5905.3,5949,5905.3,5933.7
1589349600,5933.8,5949.3,5897.3,5930.6
1589364000,5930.7,5953.6,5905.7,5920.8
1589378400,5920.5,5950.4,5838.6,5857
1589392800,5857.1,5877.8,5834.4,5876.3
1589407200,5870.7,5876.3,5834.1,5841.5
1589421600,5841.4,5856.1,5828.4,5831
1589436000,5830.8,5840.1,5758.9,5782.1
1589450400,5782,5784.7,5665.2,5666.6
1589464800,5666.7,5785.9,5658.2,5761.3
1589479200,5761.2,5794.2,5744.2,5781.7
1589493600,5776.3,5800.5,5760.6,5775.5
1589508000,5775.5,5797.4,5756.5,5781.6
1589522400,5781.6,5848.8,5775,5813.5
1589536800,5813.6,5826.3,5756.8,5820.3
1589551200,5820.4,5838.4,5783,5815.3
1589565600,5815.2,5838.5,5806.3,5826.1
1589752800,5811.7,5887.9,5811.6,5881.5
1589767200,5881.6,5900.1,5872.9,5872.9
1589781600,5872.9,5954.4,5872.9,5919.5
1589796000,5919.6,6011.9,5916.6,5997.3
1589810400,5997.2,6070.6,5987.1,6064.1
1589824800,6064.2,6082.7,6051.9,6057.5
1589839200,6057.2,6080.1,6042.5,6042.8
1589853600,6042.8,6075.4,6031.3,6065.6
1589868000,6065.7,6120,6008.9,6022
1589882400,6022.1,6041.5,5964.9,5983
1589896800,5982.9,6011.9,5963.1,5994
1589911200,5994,5998.9,5928.2,5934.1
1589925600,5930.5,5993,5922,5992.9
1589940000,5993,5995.5,5972.1,5973.6
1589954400,5973.8,6011.9,5957,6007.3
1589968800,6007.1,6042.2,6002.4,6030.7
1589983200,6030.9,6078.1,6027.6,6047.7
1589997600,6047.8,6072.8,6045,6068.2
1590012000,6065.5,6070,6037.3,6038.2
1590026400,6038.1,6048.2,6024.4,6031.5
1590040800,6031.8,6040.1,6002.6,6012.5
1590055200,6012.5,6098,6002.6,6087.3
1590069600,6087.4,6092.9,6010.6,6029.7
1590084000,6029.8,6039.8,6009.4,6010.6
1590098400,6013.8,6051.9,6005.3,6014.1
1590112800,6014.1,6014.1,5943.5,5952.9
1590127200,5952,5965.5,5898.9,5944.7
1590141600,5944.8,6019.4,5944.4,6000.2
1590156000,6000.1,6024.3,5977.2,6020.7
1590170400,6020.8,6031.3,6015.6,6027.5
1590357600,6021.2,6056.2,6015.7,6039.6
1590372000,6039.4,6046.2,6028.4,6040.2
1590458400,6141.1,6154.8,6136.8,6151
1590472800,6151,6174.2,6082.3,6091.5
1590487200,6091.4,6093.1,6054,6059.2
1590501600,6059.3,6095.8,6052.1,6091.4
1590516000,6091.4,6094.2,6051.4,6063.5
1590530400,6059.4,6097.4,6054.5,6085.3
1590544800,6085.4,6119.6,6072.3,6109.7
1590559200,6109.9,6182.3,6099.5,6175.6
1590573600,6175.5,6181.2,6122,6130.1
1590588000,6130,6167.1,6101.5,6160
1590602400,6160.1,6193.3,6160,6192.5
1590616800,6190,6315.5,6173.1,6236.1
1590631200,6236,6242.5,6175.8,6219.6
1590645600,6219.6,6231.5,6163.9,6180.7
1590660000,6180.7,6247.1,6176.9,6229.5
1590674400,6229.6,6252.3,6216.9,6247.8
1590688800,6248,6249.7,6181.8,6211.3
1590703200,6207.9,6213.2,6155.3,6183.3
1590717600,6183.4,6200.8,6169,6181.4
1590732000,6181.1,6203.5,6150.9,6173.4
1590746400,6173.4,6183,6122.9,6126.1
1590760800,6126.2,6131.4,6052.6,6074.4
1590775200,6074.4,6129.9,6056.9,6120.2
1590962400,6114.8,6150.6,6051.2,6149.8
1590976800,6149.7,6156.7,6134.6,6146.1
1590991200,6146.2,6188.6,6116.3,6140.1
1591005600,6140,6167.1,6124.1,6148
1591020000,6148,6197.1,6143,6194.9
1591034400,6195.1,6209.1,6185,6207.8
1591048800,6204,6207,6167.1,6185.1
1591063200,6185,6216.8,6179.2,6212.4
1591077600,6212.4,6246.2,6184.4,6237.1
1591092000,6237.2,6250.3,6220,6233.1
1591106400,6233.2,6247.3,6224.2,6240.2
1591120800,6240.1,6251.8,6227.7,6248.6
1591135200,6249.6,6291.1,6240.7,6279.4
1591149600,6279.2,6299.1,6271.2,6295.7
1591164000,6295.9,6325.8,6274.2,6324.2
1591178400,6324.2,6354.6,6281.4,6349
1591192800,6349,6407.2,6348.5,6398.2
1591207200,6398.3,6419.4,6387.4,6394.6
1591221600,6391.9,6418.5,6376,6384.1
1591236000,6384,6394.8,6361.4,6377.5
1591250400,6377.5,6404.9,6354.1,6361.4
1591264800,6361.6,6415.5,6323.1,6367.5
1591279200,6367.4,6377,6334.9,6357.6
1591293600,6357.7,6361.3,6329,6356.8
1591308000,6353.7,6360,6339.7,6356
1591322400,6356.3,6413.6,6354.3,6407
1591336800,6407,6442.2,6390.4,6428.4
1591351200,6428.6,6491.1,6402.2,6476.4
1591365600,6476.6,6511,6460.4,6479.3
1591380000,6479.4,6486.9,6453.8,6460.9
1591567200,6479.4,6510.7,6467.9,6470.8
1591581600,6471,6485.5,6459.2,6473.5
1591596000,6473.6,6524.6,6432.8,6509
1591610400,6508.9,6522.7,6495.2,6502.8
1591624800,6502.9,6505,6460.1,6486.1
1591639200,6486.1,6518.4,6483.4,6505.5
1591653600,6511.2,6525.5,6483.2,6500.6
1591668000,6500.4,6509.9,6483.4,6503.2
1591682400,6503.2,6511.7,6351.8,6376.9
1591696800,6376.9,6385.2,6346.6,6350.1
1591711200,6350.1,6366.6,6322.8,6349
1591725600,6348.9,6359.4,6336.6,6340.7
1591740000,6344.5,6384.4,6341,6380.8
1591754400,6380.7,6388.3,6351.1,6370.3
1591768800,6370.4,6398.1,6313.5,6322.1
1591783200,6322.1,6377.6,6302.7,6346.1
1591797600,6346,6355.1,6314,6329.6
1591812000,6329.9,6365.5,6296.7,6306
1591826400,6297.6,6308.8,6246.3,6283
1591840800,6282.9,6283,6206.1,6209.4
1591855200,6209.4,6221.8,6159,6215.4
1591869600,6215.5,6221.7,6132.4,6166.8
1591884000,6167,6173.9,6025.1,6050.1
1591898400,6050,6050.9,5972.3,6002.5
1591912800,6012.6,6048.7,5986.3,6036.4
1591927200,6036.3,6071.8,6033.4,6068
1591941600,6068,6165.7,5996.5,6161.7
1591956000,6161.8,6192.1,6118.6,6168.6
1591970400,6168.7,6180.6,6048.8,6050.2
1591984800,6050.1,6151,6047.8,6123.9
1592172000,6063.1,6087.7,6025.6,6076
1592186400,6076,6082.2,5953,5956.2
1592200800,5955.9,6053.2,5937,6050.1
1592215200,6050,6070.4,5993,6022.3
1592229600,6022.5,6111.7,6012.1,6095.4
1592244000,6095.3,6156.6,6095.3,6150.7
1592258400,6156,6190.8,6142.1,6185.5
1592272800,6185.6,6231.4,6184.7,6215.2
1592287200,6215.4,6243.9,6190.7,6207
1592301600,6206.9,6299.2,6198.9,6287.3
1592316000,6287.4,6307.2,6189.2,6250.1
1592330400,6250.3,6268.4,6215,6243.1
1592344800,6229.2,6274.2,6215.3,6239.4
1592359200,6239.7,6265.2,6224.2,6245.7
1592373600,6245.7,6316.5,6243.5,6264.9
1592388000,6264.8,6302.6,6260.1,6273.8
1592402400,6273.8,6280.6,6239.3,6268.7
1592416800,6268.8,6272.1,6226.4,6235.6
1592431200,6226.4,6240,6151.8,6170.7
1592445600,6170.6,6218.2,6157.2,6209.5
1592460000,6209.6,6292.8,6194.7,6257.6
1592474400,6257.6,6259.6,6189.2,6212.3
1592488800,6212.4,6241,6206.9,6235.1
1592503200,6235,6235.7,6208.3,6215.9
1592517600,6219,6260,6211.9,6226.9
1592532000,6227.4,6239.2,6220.5,6233.9
1592546400,6234.1,6317.9,6233.3,6302.4
1592560800,6302.3,6328.4,6294.7,6301.6
1592575200,6301.4,6322.3,6235.9,6238.2
1592589600,6238.1,6276.6,6204.5,6215.4
1592776800,6204.9,6255.5,6172.8,6245.4
1592791200,6245.3,6274.5,6242.7,6245.4
1592805600,6245.7,6318.6,6220.6,6307.9
1592820000,6307.8,6313.2,6253.9,6270.5
1592834400,6270.7,6280.8,6230.1,6272.5
1592848800,6272.6,6284.4,6256.4,6277.5
1592863200,6277.4,6307.4,6195.2,6267.7
1592877600,6268.6,6296.5,6253.7,6270.4
1592892000,6270.3,6321.3,6259.2,6318.2
1592906400,6318.1,6350.1,6314.4,6318.3
1592920800,6318.4,6339.3,6300.9,6322.9
1592935200,6322.8,6323.1,6278.2,6280.3
